serial_number,ncbi_name,abundance
EG23-HU08-NGS-S4H5,Bifidobacterium bifidum,0.0023834196891191
EG23-HU08-NGS-S4H5,Bifidobacterium longum,0.0010362694300518
EG23-HU08-NGS-S4H5,Bifidobacterium animalis,0.0
EG23-HU08-NGS-S4H5,Lactobacillus helveticus,0.0
EG23-HU08-NGS-S4H5,Lactococcus lactis,0.0
EG23-HU08-NGS-S4H5,Lactobacillus salivarius,0.0
EG23-HU08-NGS-S4H5,Lactobacillus rhamnosus,0.0
EG23-HU08-NGS-S4H5,Lactobacillus reuteri,0.0
EG23-HU08-NGS-S4H5,Lactobacillus plantarum,0.0
EG23-HU08-NGS-S4H5,Lactobacillus paracasei,0.0
EG23-HU08-NGS-S4H5,Lactobacillus fermentum,0.0
EG23-HU08-NGS-S4H5,Lactobacillus gasseri,0.0
EG23-HU08-NGS-S4H5,Lactobacillus bulgaricus,0.0
EG23-HU08-NGS-S4H5,Lactobacillus casei,0.0
EG23-HU08-NGS-S4H5,Lactobacillus acidophilus,0.0
EG23-HU08-NGS-S4H5,Enterococcus faecalis,0.0
EG23-HU08-NGS-S4H5,Enterococcus faecium,0.0
EG23-HU08-NGS-S4H5,Bifidobacterium breve,0.0
EG23-HU08-NGS-S4H5,Streptococcus thermophilus,0.0
